[multifieldqa_en len~8051] bug-r32        f1=0.123 ratio=0.044
[multifieldqa_en len~8051] full           f1=0.192 ratio=1.000
[qasper len~5649] bug-r128       f1=0.221 ratio=0.160
[qasper len~5649] bug-r256       f1=0.239 ratio=0.311
[qasper len~5649] bug-r32        f1=0.076 ratio=0.046
[qasper len~5649] bug-r64        f1=0.099 ratio=0.084
[qasper len~5649] ea-k0.1        f1=0.149 ratio=0.100
[qasper len~5649] ea-k0.25       f1=0.216 ratio=0.250
[qasper len~5649] ea-k0.5        f1=0.222 ratio=0.500
[qasper len~5649] full           f1=0.259 ratio=1.000
[qasper len~5649] morph-k0.1     f1=0.257 ratio=0.438
[qasper len~5649] morph-k0.25    f1=0.254 ratio=1.002
[qasper len~5649] morph-k0.5     f1=0.267 ratio=1.194
[qasper len~5649] palu-r0.25     f1=0.073 ratio=0.257
[qasper len~5649] palu-r0.5      f1=0.257 ratio=0.514
[qasper len~5649] shadow-r128    f1=0.183 ratio=1.076
[qasper len~5649] shadow-r64     f1=0.182 ratio=0.821
[qasper len~5649] snapkv-k0.1    f1=0.136 ratio=0.100
[qasper len~5649] snapkv-k0.25   f1=0.223 ratio=0.250
[qasper len~5649] snapkv-k0.5    f1=0.253 ratio=0.500
[qasper len~5649] think-c0.3     f1=0.267 ratio=0.852
[qasper len~5649] think-c0.5     f1=0.264 ratio=0.750
[qasper len~5649] think-c0.7     f1=0.138 ratio=0.649
