[niah_multikey ctx16384] bug-r128       acc=0.38 recall=0.38 ratio=0.135
[niah_multikey ctx16384] bug-r256       acc=0.00 recall=0.00 ratio=0.268
[niah_multikey ctx16384] bug-r32        acc=0.00 recall=0.00 ratio=0.036
[niah_multikey ctx16384] bug-r64        acc=0.00 recall=0.00 ratio=0.069
[niah_multikey ctx16384] ea-k0.1        acc=0.88 recall=0.88 ratio=0.100
[niah_multikey ctx16384] ea-k0.25       acc=0.88 recall=0.88 ratio=0.250
[niah_multikey ctx16384] ea-k0.5        acc=1.00 recall=1.00 ratio=0.500
[niah_multikey ctx16384] full           acc=1.00 recall=1.00 ratio=1.000
[niah_multikey ctx16384] morph-k0.1     acc=0.00 recall=0.00 ratio=0.124
[niah_multikey ctx16384] morph-k0.25    acc=0.50 recall=0.50 ratio=0.311
[niah_multikey ctx16384] morph-k0.5     acc=1.00 recall=1.00 ratio=0.622
[niah_multikey ctx16384] palu-r0.25     acc=0.00 recall=0.00 ratio=0.252
[niah_multikey ctx16384] palu-r0.5      acc=1.00 recall=1.00 ratio=0.504
[niah_multikey ctx16384] shadow-r128    acc=0.00 recall=0.00 ratio=1.066
[niah_multikey ctx16384] shadow-r64     acc=0.00 recall=0.00 ratio=0.815
[niah_multikey ctx16384] snapkv-k0.1    acc=0.25 recall=0.25 ratio=0.100
[niah_multikey ctx16384] snapkv-k0.25   acc=0.50 recall=0.50 ratio=0.250
[niah_multikey ctx16384] snapkv-k0.5    acc=1.00 recall=1.00 ratio=0.500
[niah_multikey ctx16384] think-c0.3     acc=1.00 recall=1.00 ratio=0.852
[niah_multikey ctx16384] think-c0.5     acc=1.00 recall=1.00 ratio=0.750
[niah_multikey ctx16384] think-c0.7     acc=0.00 recall=0.00 ratio=0.648
[niah_multivalue ctx16384] bug-r128       acc=0.38 recall=0.56 ratio=0.135
[niah_multivalue ctx16384] bug-r256       acc=0.00 recall=0.00 ratio=0.268
[niah_multivalue ctx16384] bug-r32        acc=0.00 recall=0.00 ratio=0.036
