  quant-2bit-kivi [T=16384] ppl=4.986 tok_eq/layer=1398.0 ratio=0.163 sbits=0.163
  quant-2bit-kivi [T=32768] ppl=3.458 tok_eq/layer=2678.0 ratio=0.160 sbits=0.160
  quant-4bit-kivi [T=16384] ppl=4.832 tok_eq/layer=2414.0 ratio=0.287 sbits=0.287
  quant-4bit-kivi [T=32768] ppl=3.306 tok_eq/layer=4718.0 ratio=0.284 sbits=0.284
[niah_multikey ctx16384] quant-2bit-kivi acc=0.58 recall=0.58 ratio=0.163 sbits=0.163 n=12
[niah_multikey ctx16384] quant-4bit-kivi acc=1.00 recall=1.00 ratio=0.287 sbits=0.287 n=12
[niah_multikey ctx16384] quant-8bit-kivi-hqq acc=1.00 recall=1.00 ratio=0.535 sbits=0.535 n=4
[niah_multikey ctx32768] quant-2bit-kivi acc=0.25 recall=0.25 ratio=0.160 sbits=0.160 n=12
[niah_multikey ctx32768] quant-4bit-kivi acc=1.00 recall=1.00 ratio=0.284 sbits=0.284 n=12
[niah_multivalue ctx16384] quant-2bit-kivi acc=0.50 recall=0.85 ratio=0.163 sbits=0.163 n=12
[niah_multivalue ctx16384] quant-4bit-kivi acc=1.00 recall=1.00 ratio=0.287 sbits=0.287 n=12
[niah_multivalue ctx16384] quant-8bit-kivi-hqq acc=1.00 recall=1.00 ratio=0.535 sbits=0.535 n=4
[niah_multivalue ctx32768] quant-2bit-kivi acc=0.08 recall=0.60 ratio=0.160 sbits=0.160 n=12
[niah_multivalue ctx32768] quant-4bit-kivi acc=1.00 recall=1.00 ratio=0.284 sbits=0.284 n=12
[niah_single ctx16384] quant-2bit-kivi acc=0.92 recall=0.92 ratio=0.163 sbits=0.163 n=12
[niah_single ctx16384] quant-4bit-kivi acc=1.00 recall=1.00 ratio=0.287 sbits=0.287 n=12
[niah_single ctx16384] quant-8bit-kivi-hqq acc=1.00 recall=1.00 ratio=0.535 sbits=0.535 n=4
[niah_single ctx32768] quant-2bit-kivi acc=0.83 recall=0.83 ratio=0.160 sbits=0.160 n=12
[niah_single ctx32768] quant-4bit-kivi acc=1.00 recall=1.00 ratio=0.284 sbits=0.284 n=12
[vt ctx16384] quant-2bit-kivi acc=0.33 recall=0.33 ratio=0.163 sbits=0.163 n=12
[vt ctx16384] quant-4bit-kivi acc=0.25 recall=0.25 ratio=0.287 sbits=0.287 n=12
[vt ctx16384] quant-8bit-kivi-hqq acc=0.25 recall=0.25 ratio=0.535 sbits=0.535 n=4
[vt ctx32768] quant-2bit-kivi acc=0.00 recall=0.00 ratio=0.160 sbits=0.160 n=12
[vt ctx32768] quant-4bit-kivi acc=0.25 recall=0.25 ratio=0.284 sbits=0.284 n=12
