[niah_multikey ctx65536] ea-k0.1        acc=0.67 recall=0.67 ratio=0.100 sbits=0.100 n=12
[niah_multikey ctx65536] quant-2bit-kivi acc=0.58 recall=0.58 ratio=0.158 sbits=0.158 n=12
[niah_multikey ctx65536] quant-4bit-kivi acc=0.83 recall=0.83 ratio=0.283 sbits=0.283 n=12
[niah_multivalue ctx65536] ea-k0.1        acc=0.83 recall=0.90 ratio=0.100 sbits=0.100 n=12
[niah_multivalue ctx65536] quant-2bit-kivi acc=0.50 recall=0.83 ratio=0.158 sbits=0.158 n=12
[niah_multivalue ctx65536] quant-4bit-kivi acc=1.00 recall=1.00 ratio=0.283 sbits=0.283 n=12
[niah_single ctx65536] ea-k0.1        acc=1.00 recall=1.00 ratio=0.100 sbits=0.100 n=12
[niah_single ctx65536] quant-2bit-kivi acc=1.00 recall=1.00 ratio=0.158 sbits=0.158 n=12
[niah_single ctx65536] quant-4bit-kivi acc=1.00 recall=1.00 ratio=0.283 sbits=0.283 n=12
[vt ctx65536] ea-k0.1        acc=1.00 recall=1.00 ratio=0.100 sbits=0.100 n=12
[vt ctx65536] quant-2bit-kivi acc=1.00 recall=1.00 ratio=0.158 sbits=0.158 n=12
[vt ctx65536] quant-4bit-kivi acc=0.58 recall=0.58 ratio=0.283 sbits=0.283 n=12
